id,visa_type,title,subtitle,price,currency,validity,duration,num_entries,visa_category,is_active,is_featured,display_order,processing_time,includes,excludes
1,UAE Visa,30 Days Single Entry,Standard tourist visa,37000,PKR,60 days,30 days,Single,tourist,True,True,1,3-5 working days,"Visa fees, Service charges, Email delivery","Hotel booking, Flight tickets"
2,UAE Visa,30 Days Normal E-Visa,Digital visa online,26400,PKR,60 days,30 days,Single,tourist,True,False,2,2-3 working days,"E-visa processing, Email delivery","Hotel confirmation, Flight confirmation"
3,UAE Visa,60 Days Normal E-Visa,Extended stay tourist visa,42500,PKR,90 days,60 days,Single,tourist,True,False,3,2-3 working days,"Extended visa processing, Email delivery",""
4,UAE Visa,Transit 48 Hours,Short transit,10500,PKR,48 hours,48 hours,Single,transit,True,False,4,1-2 working days,"Transit visa fees, Quick processing",""
5,UAE Visa,Transit 96 Hours,Extended transit,28300,PKR,96 hours,96 hours,Single,transit,True,False,5,1-2 working days,"Extended transit, Quick processing",""
6,Umrah Visa,Umrah 30 Days,Standard Umrah visa,32000,PKR,60 days,30 days,Single,religious,True,True,1,5-7 working days,"Umrah visa, Religious pilgrimage support",""
7,Umrah Visa,Umrah 60 Days,Extended Umrah visa,45000,PKR,90 days,60 days,Single,religious,True,False,2,5-7 working days,"Extended Umrah visa, Accommodation support",""
8,Singapore Visa,Tourist Visa,Tourist visit,18000,PKR,90 days,30 days,Single,tourist,True,False,1,5-7 working days,"Visa processing, Travel insurance",""
9,Singapore Visa,Business Visa,Business visit,22000,PKR,180 days,60 days,Multiple,business,True,False,2,5-7 working days,"Business visa, Multi-entry support",""
10,Thailand Visa,Tourist Visa,Tourist visit,15000,PKR,60 days,30 days,Single,tourist,True,True,1,3-5 working days,"Visa processing, Travel guidance",""
11,Thailand Visa,Business Visa,Business visit,20000,PKR,180 days,90 days,Multiple,business,True,False,2,5-7 working days,"Business visa, Multi-entry",""
12,Malaysia Visa,Tourist Visa,Tourist visit,14000,PKR,90 days,30 days,Single,tourist,True,False,1,3-5 working days,"Visa processing, Delivery",""
13,Malaysia Visa,Business Visa,Business visit,19000,PKR,180 days,60 days,Multiple,business,True,False,2,5-7 working days,"Business visa, Support",""
14,Indonesia Visa,Tourist Visa,Tourist visit,12000,PKR,60 days,30 days,Single,tourist,True,False,1,5-7 working days,"Visa processing",""
15,Sri Lanka Visa,Tourist Visa,Tourist visit,8000,PKR,30 days,30 days,Single,tourist,True,True,1,2-3 working days,"Quick visa processing, E-visa",""
