thumbnail,banner,video_url,package_type,title,slug,description,tags,contact_no,whatsapp_no,informational_message,starting_from,price,currency,location,is_active,is_featured,display_order
,,"https://youtube.com/watch?v=example1",umrah,"15 Days Ramadan Umrah Package 2024","15-days-ramadan-umrah-2024","Complete Umrah package with 5-star hotels near Haram. Includes flights from major cities, luxury accommodation, transportation, and comprehensive Ziyarat tours. Experienced guides will accompany throughout the journey.","ramadan,5-star,family-friendly,guided","+92-300-1234567","+92-300-1234567","Limited slots available! Book before Ramadan. Early bird discount of 10% till end of month.",150000,180000,PKR,"Makkah & Madinah",TRUE,TRUE,0
,,"https://youtube.com/watch?v=example2",umrah,"10 Days Economy Umrah Package","10-days-economy-umrah","Budget-friendly Umrah package with comfortable 3-star hotels, economy flights, and basic transportation included. Perfect for groups and families looking for affordable options.","economy,budget,group,affordable","+92-300-1234567","+92-300-1234567","Best value for money! Group discounts available.",80000,95000,PKR,"Makkah & Madinah",TRUE,FALSE,1
,,"",hajj,"40 Days Hajj Package 2024","40-days-hajj-2024","Complete Hajj package with premium accommodation in Makkah, Madinah, Mina, and Arafat. Experienced multilingual guides, all rituals covered, and premium transportation throughout.","hajj,premium,guided,full-service","+92-300-1234567","+92-300-1234567","Registration open now! Limited seats. Ministry approved.",450000,500000,PKR,"Makkah, Madinah, Mina, Arafat",TRUE,TRUE,2
,,"https://youtube.com/watch?v=example3",tour,"7 Days Dubai Tour Package","7-days-dubai-tour","Explore Dubai with visits to Burj Khalifa, Desert Safari with BBQ dinner, Dubai Mall, Gold Souk, Miracle Garden, and more. Includes return flights and 4-star hotel with breakfast.","dubai,luxury,adventure,sightseeing","+92-300-1234567","+92-300-1234567","Summer special offer! 15% discount on bookings this month.",75000,85000,PKR,"Dubai, UAE",TRUE,TRUE,3
,,"",tour,"5 Days Turkey Tour Package","5-days-turkey-tour","Visit Istanbul's historic sites including Hagia Sophia, Blue Mosque, Topkapi Palace, and Cappadocia's fairy chimneys. Includes flights, 4-star hotels, breakfast, and guided tours with Urdu speaking guide.","turkey,historical,cultural,guided","+92-300-1234567","+92-300-1234567","Limited time discount! Book 2 get 1 child free.",120000,135000,PKR,"Istanbul, Cappadocia, Turkey",TRUE,FALSE,4
,,"",hotel,"5-Star Makkah Hotel Booking","5-star-makkah-hotel","Premium 5-star hotel booking near Haram Sharif. Walking distance to Masjid al-Haram (2-3 minutes). Haram view rooms available. Includes breakfast buffet.","5-star,haram-view,luxury,walking-distance","+92-300-1234567","+92-300-1234567","Best location guaranteed! Haram view rooms limited.",25000,30000,PKR,"Makkah",TRUE,FALSE,5
,,"",flight,"Karachi to Jeddah Flight Ticket","karachi-jeddah-flight","Round trip economy class flight tickets from Karachi to Jeddah with major airlines (PIA, Saudi Airlines). Flexible dates available. Baggage included.","flight,economy,round-trip,flexible","+92-300-1234567","+92-300-1234567","Flexible dates available. Easy cancellation policy.",45000,55000,PKR,"Karachi to Jeddah",TRUE,FALSE,6
,,"",combo,"Umrah + Dubai Combo Package","umrah-dubai-combo","Perform Umrah and enjoy Dubai in one amazing trip. 10 days total: 7 days Umrah in Makkah-Madinah + 3 days Dubai tour. Hotels, flights, and transportation included.","combo,umrah,dubai,best-value","+92-300-1234567","+92-300-1234567","Most popular choice! Save 20% vs separate bookings.",200000,225000,PKR,"Makkah, Madinah, Dubai",TRUE,TRUE,7
,,"https://youtube.com/watch?v=example4",umrah,"20 Days VIP Umrah Package","20-days-vip-umrah","Luxury VIP Umrah package with 5-star hotels, business class flights, private luxury transportation, dedicated guide, VIP airport lounges, and personalized service throughout.","vip,luxury,premium,business-class","+92-300-1234567","+92-300-1234567","Ultimate comfort experience. Only 10 seats available per month.",300000,350000,PKR,"Makkah & Madinah",TRUE,TRUE,8
,,"",tour,"3 Days Murree Tour Package","3-days-murree-tour","Domestic tour to beautiful Murree hills. Includes 3-star hotel accommodation, breakfast and dinner, local sightseeing including Mall Road, Patriata, and Kashmir Point.","domestic,hills,family,weekend","+92-300-1234567","+92-300-1234567","Perfect weekend getaway! AC transport from Islamabad/Rawalpindi.",15000,18000,PKR,"Murree, Pakistan",TRUE,FALSE,9
,,"",tour,"4 Days Naran Kaghan Tour","4-days-naran-kaghan","Explore the scenic valleys of Naran and Kaghan. Visit Saif-ul-Malook Lake, Lalazar, Babusar Top. Includes hotels, transport, breakfast, and guide.","domestic,mountains,nature,scenic","+92-300-1234567","+92-300-1234567","Summer special! Best time to visit. Book now!",22000,25000,PKR,"Naran, Kaghan, Pakistan",TRUE,FALSE,10
