parent_slug,title,slug,order,is_active,Requirements,Price,Currency,Sub title
visa-singapore,30 Days,singapore-30-days,NULL,Yes,"Singapore Visa Fees,Visa Service Charges,All Taxes,30 Days Duration of stay in Singapore,60 Days Validity (Travel Time ) - Subject to Immigration,8 To 10 Working Days Required",13000,PKR,Singapore E Visa
visa-dubai,30 Days,dubai-30-days,NULL,Yes,"UAE Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,30 Days Duration of stay in UAE,60 Days Validity (Travel Time )",26000,PKR,UAE Tourist Visa
visa-dubai,48 Hours,dubai-48-hours,NULL,No,"UAE Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,48 Hours Duration of stay in UAE,30 Days Validity (Travel Time )",75,USD,UAE Transit Visa
visa-dubai,60 Days,dubai-60-days,NULL,Yes,"UAE Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,60 Days Duration of stay in UAE,60 Days Validity (Travel Time )",44000,PKR,UAE Tourist Visa
visa-dubai,96 Hours,dubai-96-days,NULL,No,"UAE Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,96 Hours Duration of stay in UAE,30 Days Validity (Travel Time )",90,USD,UAE Transit Visa
visa-indonesia,30 Days,indonesia-30-days,NULL,No,"Indonesia Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,As Per Hotel Reservation stay in Indonesia,60 Days Validity (Travel Time ),Processing Time 10 to 12 Working Days.",26000,PKR,Indonesia Tourist Visa
visa-indonesia,As Per Hotel Reservation,indonesia,NULL,Yes,"Indonesia Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,As Per Hotel Reservation stay in Indonesia,60 Days Validity (Travel Time ),Processing Time 7 Working Days.",26000,PKR,Indonesia Urgent E Visa
visa-kenya-visa,30 Days,kenya-30-days,NULL,Yes,"Kenya Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,30 Days Duration of stay in Kenya,90 Days Validity (Travel Time ).,6 Working Days Processing Time",26000,PKR,Kenya Visit Visa
visa-sri-lanka-visa,30 Days,srilanka-30-days,NULL,Yes,"Sri Lanka Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,30 Days Duration of stay in Sri Lanka,180 Days Validity (Travel Time ),8 Working Days Processing Time",11000,PKR,Sri Lanka Visit Visa
visa-tajikistan-visa,30 Days,tajikistan,NULL,Yes,"Immigration Fees,Visa Service Charges,All Taxes,Processing time is 6 working days.",36500,PKR,Tajikistan Tourist Visa
visa-thailand-visa,30 Days,thailand-30,NULL,Yes,"Thailand Immigration Fees,Visa Service Charges,All Taxes,Tourist Visa,30 Days Duration of stay in Thailand,90 Days Validity (Travel Time ),6 to 7 Working Days Visa Processing Time",14000,PKR,Thailand Visit Visa
visa-thailand-visa,30 Days,thailand-30-noned,NULL,Yes,"Six Months Bank Statement,Account Maintenance Certificate,N.T.N Number,Original Pakistani Passport (Old Passport is required if any),Four Pictures,FRC Family Registration Certificate (if Applying with Family),C.N.I.C Photo Copy,Invitation Letter from Thailand Company,Pakistani Company Employment Letter",29500,PKR,NON-ED Conference Visa
visa-thailand-visa,90 Days,thailand-90-nonb,NULL,Yes,"Thai National ID Card &amp; Pictures,Invitation letter from Company,Company Registration &amp; Company Tax Return,DBDs Files,Bank Statement &amp; Account Maintenance,Passport (previous passport),Company letter Head &amp; NTN No,Multi Entry 1 Year 67000/- Per Person",29500,PKR,NON-B Business Visa
visa-thailand-visa,90 Days,thailand-90-nono,NULL,Yes,"If the wife is a Thai National,Invitation letter from the wife,Wife Id Card Copy,House Registration (Tabian ban),Marriage Certificate,Six Months Bank Statement,Account Maintenance Certificate,Original Pakistani Passport (Old Passport is required if any),Four Pictures,C.N.I.C Photo Copy",29500,PKR,NON-O Family Visa
visa-thailand-visa,90 Days,thailand-90-nonbpakistan,NULL,Yes,"Passport first-page scan,Work permit scan,Valid Visa Scan,Invitation letter,Company Tax return,Company registration,DBDs Files,Bank Statement,Original Pakistani passport with previous passport,Pictures,C.N.I.C Photo Copy,Multiple Entry 1 Year 67000/- Per Person",29500,PKR,Pakistani National On Non-B Visa
visa-thailand-visa,90 Days,thailand-90-tso1,NULL,Yes,"Six Months Bank Statement,Account Maintenance Certificate,Business Covering Letter Pad OR Job Letter,N.T.N Number OR Last 3 Months Salary Slips,Onward Tickets Or Valid Visa of Other Country,Original Pakistani Passport (Old Passport is required if any),Four Pictures,FRC Family Registration Certificate (if Applying with Family),C.N.I.C Photo Copy,Double Transit 25500/-",14500,PKR,SINGLE/Double Transit Visa (TS-01/TS-02)
visa-thailand-visa,90 Days,thailand-90-study,NULL,Yes,"Invitation letter from Thailand,Invitee, I'd card,University registration,Degree photocopy from a Pakistani university,Bank Statement,Account maintenance,Source of income,Passport with the previous passport,Picture,CNIC photocopy",27500,PKR,Study Visa
